MTime;Miner;Message;BlockNr;Hash
10-24-12:21:02.769;miner3;🔨 mined potential block                 ;144;55df4a…3a5960
10-24-12:21:07.512;miner3;🔨 mined potential block                 ;145;a5f311…26bcff
10-24-12:21:08.325;miner1;🔨 mined potential block                 ;145;47deb2…98cad3
10-24-12:21:26.945;miner2;🔨 mined potential block                 ;146;0a5924…784dbc
10-24-12:21:28.809;miner6;🔨 mined potential block                 ;147;5f09f6…61c83c
10-24-12:21:36.515;miner2;🔨 mined potential block                 ;148;2554f3…785618
10-24-12:21:41.067;miner6;🔨 mined potential block                 ;149;44da0d…4a390a
10-24-12:22:04.933;miner2;🔨 mined potential block                 ;150;f6f956…c019cc
10-24-12:22:07.339;miner10;🔨 mined potential block                 ;151;4979c8…089623
10-24-12:22:09.211;miner8;🔨 mined potential block                 ;152;4328e7…5836b8
10-24-12:22:09.907;miner10;🔨 mined potential block                 ;153;7b68cd…d55504
10-24-12:22:24.128;miner5;🔨 mined potential block                 ;154;ecdae0…73d943
10-24-12:22:30.836;miner2;🔨 mined potential block                 ;155;2c0559…b34b83
10-24-12:22:49.231;miner9;🔨 mined potential block                 ;156;08b890…6d4657
10-24-12:23:02.836;miner9;🔨 mined potential block                 ;157;355ac4…1dce0d
10-24-12:23:06.105;miner4;🔨 mined potential block                 ;158;36fcea…5eccf2
10-24-12:23:07.437;miner5;🔨 mined potential block                 ;159;c94518…1790bb
10-24-12:23:09.218;miner3;🔨 mined potential block                 ;160;2c56c0…eec28a
10-24-12:23:10.108;miner2;🔨 mined potential block                 ;161;4a20cb…3946de
10-24-12:23:19.513;miner9;🔨 mined potential block                 ;162;083ffa…c30b27
10-24-12:23:24.040;miner7;🔨 mined potential block                 ;163;e9b8ed…886709
10-24-12:23:26.963;miner1;🔨 mined potential block                 ;164;cf1e79…b698b4
10-24-12:23:32.566;miner4;🔨 mined potential block                 ;165;473881…fc6ab2
10-24-12:23:33.366;miner1;🔨 mined potential block                 ;166;e84285…93135d
10-24-12:23:35.255;miner1;🔨 mined potential block                 ;167;cd411f…fe28f1
10-24-12:23:35.562;miner1;🔨 mined potential block                 ;168;1740eb…2fb24c
10-24-12:23:41.251;miner1;🔨 mined potential block                 ;169;0e2e08…24250c
10-24-12:23:47.342;miner3;🔨 mined potential block                 ;170;f2bbda…bb48a2
10-24-12:23:47.613;miner5;🔨 mined potential block                 ;170;896709…ab4318
10-24-12:23:50.816;miner10;🔨 mined potential block                 ;171;716bb9…f88518
10-24-12:23:55.123;miner5;🔨 mined potential block                 ;172;ada48e…74a753
10-24-12:23:56.609;miner7;🔨 mined potential block                 ;173;b34bb3…abe514
10-24-12:23:57.723;miner2;🔨 mined potential block                 ;174;815e9d…75a0b1
10-24-12:24:03.528;miner9;🔨 mined potential block                 ;175;b67527…d390fb
10-24-12:24:08.627;miner1;🔨 mined potential block                 ;176;cbedd0…3e0aa3
10-24-12:24:14.307;miner5;🔨 mined potential block                 ;177;35aa84…c3f32a
10-24-12:24:18.227;miner7;🔨 mined potential block                 ;178;5c0de6…a16b12
10-24-12:24:19.360;miner4;🔨 mined potential block                 ;179;97a88d…1cf76b
10-24-12:24:25.858;miner2;🔨 mined potential block                 ;180;8b7440…d3bb28
10-24-12:24:36.422;miner10;🔨 mined potential block                 ;181;3759a5…cc6e17
10-24-12:24:56.760;miner1;🔨 mined potential block                 ;182;9bac54…105568
10-24-12:25:05.829;miner4;🔨 mined potential block                 ;183;77c622…54def5
10-24-12:25:06.369;miner10;🔨 mined potential block                 ;184;ab188e…945af1
10-24-12:25:06.475;miner1;🔨 mined potential block                 ;184;49937f…b78bde
10-24-12:25:17.865;miner1;🔨 mined potential block                 ;185;034cb4…337618
10-24-12:25:35.564;miner4;🔨 mined potential block                 ;186;f81d46…6bb3da
10-24-12:25:44.215;miner8;🔨 mined potential block                 ;187;e330c7…212b3a
10-24-12:25:45.758;miner3;🔨 mined potential block                 ;188;96d55d…2b600f
10-24-12:25:52.868;miner7;🔨 mined potential block                 ;189;60995c…8fb160
10-24-12:26:00.632;miner3;🔨 mined potential block                 ;190;74c0c5…412393
10-24-12:26:08.751;miner5;🔨 mined potential block                 ;191;bcf0f2…5f4e6b
10-24-12:26:09.218;miner10;🔨 mined potential block                 ;192;5070ec…27c19d
10-24-12:26:24.955;miner4;🔨 mined potential block                 ;193;3df874…e8beed
10-24-12:26:39.207;miner9;🔨 mined potential block                 ;194;1ce653…d578c8
10-24-12:26:39.916;miner4;🔨 mined potential block                 ;195;7b75ed…1cbac3
10-24-12:27:09.643;miner5;🔨 mined potential block                 ;196;d24d45…07d30c
10-24-12:27:11.764;miner5;🔨 mined potential block                 ;197;5bf8b2…c0642d
10-24-12:27:20.618;miner3;🔨 mined potential block                 ;198;f29c97…6d2e82
10-24-12:27:28.405;miner2;🔨 mined potential block                 ;199;6b2467…4436f6
10-24-12:27:30.874;miner1;🔨 mined potential block                 ;200;5aa2c7…3a0ffa
10-24-12:27:33.439;miner5;🔨 mined potential block                 ;201;a1aa38…9559ce
10-24-12:27:45.649;miner7;🔨 mined potential block                 ;202;6f96c3…957d88
10-24-12:27:51.857;miner10;🔨 mined potential block                 ;203;a7662c…cf0367
10-24-12:27:56.405;miner10;🔨 mined potential block                 ;204;4d1675…6e1390
10-24-12:28:04.608;miner6;🔨 mined potential block                 ;205;6e44f9…a808af
10-24-12:28:13.536;miner5;🔨 mined potential block                 ;206;c921d4…aed089
10-24-12:28:23.736;miner7;🔨 mined potential block                 ;207;5d9efd…002e0d
10-24-12:28:32.065;miner1;🔨 mined potential block                 ;208;4b690f…9df7d5
10-24-12:28:35.347;miner1;🔨 mined potential block                 ;209;d4e7e0…7f8596
10-24-12:28:39.726;miner8;🔨 mined potential block                 ;210;0c31e2…059a69
10-24-12:28:40.620;miner4;🔨 mined potential block                 ;211;433dd6…d80cc9
10-24-12:28:52.617;miner7;🔨 mined potential block                 ;212;1a00c5…231b68
10-24-12:28:59.413;miner10;🔨 mined potential block                 ;213;533392…c433ab
10-24-12:29:09.308;miner10;🔨 mined potential block                 ;214;f571d0…15a162
10-24-12:29:16.609;miner8;🔨 mined potential block                 ;215;161bab…4e94de
10-24-12:29:36.505;miner2;🔨 mined potential block                 ;216;bcc572…92d794
10-24-12:29:37.434;miner3;🔨 mined potential block                 ;217;80f2dc…673439
10-24-12:29:49.064;miner6;🔨 mined potential block                 ;218;bc7c4a…97e398
10-24-12:29:51.509;miner4;🔨 mined potential block                 ;219;9d006d…ec7526
10-24-12:29:51.970;miner4;🔨 mined potential block                 ;220;6a2d04…3b34ff
10-24-12:30:01.461;miner1;🔨 mined potential block                 ;221;9638bb…4e25ae
10-24-12:30:02.068;miner8;🔨 mined potential block                 ;222;ae1a3f…ec3c77
10-24-12:30:05.925;miner9;🔨 mined potential block                 ;223;7f1df7…ccfa9c
10-24-12:30:11.141;miner10;🔨 mined potential block                 ;224;208779…23fc0e
10-24-12:30:12.659;miner10;🔨 mined potential block                 ;225;488abf…4b41b2
10-24-12:30:27.018;miner6;🔨 mined potential block                 ;226;039614…a7c7db
10-24-12:30:29.804;miner8;🔨 mined potential block                 ;227;dc1d0c…195fe2
10-24-12:30:31.166;miner1;🔨 mined potential block                 ;228;f17e52…ad7ccb
10-24-12:30:31.845;miner5;🔨 mined potential block                 ;229;f4693f…164d97
10-24-12:30:35.742;miner8;🔨 mined potential block                 ;230;6b3839…1130da
10-24-12:30:36.336;miner7;🔨 mined potential block                 ;231;2e07cc…4d19ad
10-24-12:30:37.050;miner9;🔨 mined potential block                 ;232;ee8064…f62782
10-24-12:30:37.621;miner4;🔨 mined potential block                 ;233;0b8903…419318
10-24-12:30:37.817;miner10;🔨 mined potential block                 ;234;b2dc50…af5418
10-24-12:30:37.941;miner1;🔨 mined potential block                 ;234;0eb886…4102f4
10-24-12:30:39.347;miner4;🔨 mined potential block                 ;234;90ca93…030981
10-24-12:30:40.254;miner7;🔨 mined potential block                 ;235;f4e5ca…60c09a
10-24-12:30:42.523;miner6;🔨 mined potential block                 ;236;8274b9…ac6882
10-24-12:30:42.565;miner2;🔨 mined potential block                 ;237;4342ba…3c5f7d
10-24-12:30:42.724;miner4;🔨 mined potential block                 ;238;2a0846…4a4d4a
10-24-12:30:43.941;miner10;🔨 mined potential block                 ;238;ccace7…2e886a
10-24-12:30:45.469;miner7;🔨 mined potential block                 ;239;7751d8…8aff71
10-24-12:30:46.204;miner7;🔨 mined potential block                 ;240;4803ea…4012ca
10-24-12:30:46.315;miner3;🔨 mined potential block                 ;241;f57278…69ecb6
10-24-12:30:46.639;miner5;🔨 mined potential block                 ;242;e75ab9…6e6aac
10-24-12:30:47.321;miner4;🔨 mined potential block                 ;242;cd4371…e88b6c
10-24-12:30:47.812;miner6;🔨 mined potential block                 ;242;995359…0e1c65
10-24-12:30:49.113;miner9;🔨 mined potential block                 ;243;399fe8…2b386f
10-24-12:30:49.134;miner7;🔨 mined potential block                 ;243;deb9ba…0c4835
10-24-12:30:51.773;miner1;🔨 mined potential block                 ;244;21984b…f456fb
10-24-12:30:52.061;miner7;🔨 mined potential block                 ;245;6925a6…11dc9a
10-24-12:30:52.217;miner5;🔨 mined potential block                 ;246;025f0b…16e40d
10-24-12:30:52.557;miner5;🔨 mined potential block                 ;247;b8efbe…8f6af9
10-24-12:30:52.729;miner6;🔨 mined potential block                 ;247;5d64dc…fed2b4
10-24-12:30:52.730;miner10;🔨 mined potential block                 ;246;755b6c…98e462
10-24-12:30:52.831;miner4;🔨 mined potential block                 ;247;3f7491…9214d6
10-24-12:30:55.505;miner2;🔨 mined potential block                 ;248;237e53…c5b808
10-24-12:30:55.840;miner5;🔨 mined potential block                 ;249;3f5a40…d899a3
10-24-12:30:56.663;miner5;🔨 mined potential block                 ;250;201aa9…7e7548
10-24-12:30:57.112;miner4;🔨 mined potential block                 ;251;02d197…0e52f2
10-24-12:30:57.154;miner8;🔨 mined potential block                 ;252;c5e0f1…83a695
10-24-12:30:57.163;miner5;🔨 mined potential block                 ;252;b57d9f…b6dc8f
10-24-12:30:57.214;miner7;🔨 mined potential block                 ;252;08293e…464059
10-24-12:30:57.951;miner4;🔨 mined potential block                 ;252;5f823d…db5744
10-24-12:30:58.809;miner6;🔨 mined potential block                 ;252;3a6566…c20eba
10-24-12:31:00.032;miner9;🔨 mined potential block                 ;253;e889c5…b3cc11
10-24-12:31:01.806;miner4;🔨 mined potential block                 ;254;412c34…a01453
10-24-12:31:02.538;miner9;🔨 mined potential block                 ;255;3577d1…29cb7e
10-24-12:31:03.236;miner7;🔨 mined potential block                 ;256;372394…e3ca03
10-24-12:31:04.610;miner10;🔨 mined potential block                 ;257;403841…2ddd77
10-24-12:31:05.055;miner10;🔨 mined potential block                 ;258;36d4cc…b8eeda
10-24-12:31:05.057;miner2;🔨 mined potential block                 ;258;b5a043…f7c19d
10-24-12:31:06.547;miner7;🔨 mined potential block                 ;259;fd6dd7…210206
10-24-12:31:06.656;miner4;🔨 mined potential block                 ;260;57a19f…82d0cb
10-24-12:31:07.142;miner4;🔨 mined potential block                 ;261;b0d4c3…0131d9
10-24-12:31:08.511;miner9;🔨 mined potential block                 ;262;f552b3…5015b1
10-24-12:31:08.851;miner4;🔨 mined potential block                 ;263;9ff218…759356
10-24-12:31:09.214;miner3;🔨 mined potential block                 ;263;772bde…b7a915
10-24-12:31:09.271;miner9;🔨 mined potential block                 ;263;adfc1b…5da4bb
10-24-12:31:09.429;miner7;🔨 mined potential block                 ;263;271c13…92ed3a
10-24-12:31:09.654;miner2;🔨 mined potential block                 ;263;1ff4c5…c06333
10-24-12:31:11.165;miner7;🔨 mined potential block                 ;264;6c0dc7…bfecb4
10-24-12:31:11.432;miner4;🔨 mined potential block                 ;265;03eefb…db2fb9
10-24-12:31:11.608;miner10;🔨 mined potential block                 ;266;5d9343…6947b4
10-24-12:31:12.334;miner2;🔨 mined potential block                 ;266;86d3a5…b937ea
10-24-12:31:12.334;miner4;🔨 mined potential block                 ;266;d373f9…3d67db
10-24-12:31:12.726;miner9;🔨 mined potential block                 ;266;d99496…aa484d
10-24-12:31:14.138;miner1;🔨 mined potential block                 ;267;ebc8be…a50743
10-24-12:31:14.560;miner5;🔨 mined potential block                 ;268;92f6c3…165145
10-24-12:31:14.624;miner2;🔨 mined potential block                 ;268;ec33ca…0a5542
10-24-12:31:15.417;miner7;🔨 mined potential block                 ;269;607e10…b803c0
