MTime;Miner;Message;BlockNr;Hash
11-08-10:53:36.056;miner4;🔨 mined potential block                 ;46864;acf119…8eddbe
11-08-10:53:56.626;miner3;🔨 mined potential block                 ;46865;202978…054a21
11-08-10:55:47.578;miner4;🔨 mined potential block                 ;46866;b03c5b…394540
11-08-10:56:14.430;miner4;🔨 mined potential block                 ;46867;f36405…ddf6d0
11-08-10:56:14.899;miner3;🔨 mined potential block                 ;46868;dbbadc…610e85
11-08-10:56:51.313;miner3;🔨 mined potential block                 ;46869;c1645c…3d1f33
11-08-10:57:16.410;miner4;🔨 mined potential block                 ;46870;32aa31…adae83
11-08-10:57:45.647;miner3;🔨 mined potential block                 ;46871;67fc8f…e7c888
11-08-10:57:45.692;miner4;🔨 mined potential block                 ;46871;def87a…07f08b
11-08-10:58:14.427;miner4;🔨 mined potential block                 ;46872;ae3787…1cc2db
11-08-10:58:47.734;miner4;🔨 mined potential block                 ;46873;ec3e30…888304
11-08-10:59:28.263;miner3;🔨 mined potential block                 ;46874;1ee1fc…4be1eb
11-08-10:59:47.996;miner4;🔨 mined potential block                 ;46875;83a532…d171d8
11-08-10:59:49.898;miner3;🔨 mined potential block                 ;46876;89d4a3…55fb43
11-08-11:00:09.259;miner3;🔨 mined potential block                 ;46877;6c37f2…ec9940
11-08-11:00:25.420;miner4;🔨 mined potential block                 ;46878;80b5ea…bff9d1
11-08-11:00:47.807;miner3;🔨 mined potential block                 ;46879;15a411…ba0076
11-08-11:01:01.501;miner3;🔨 mined potential block                 ;46880;2c0d25…14b688
11-08-11:01:21.683;miner4;🔨 mined potential block                 ;46881;e59522…e20852
11-08-11:01:23.847;miner4;🔨 mined potential block                 ;46882;38bb46…0391a8
11-08-11:01:24.778;miner4;🔨 mined potential block                 ;46883;d623f0…01454e
11-08-11:02:15.239;miner4;🔨 mined potential block                 ;46884;7a4c85…2e528d
11-08-11:03:25.218;miner4;🔨 mined potential block                 ;46885;6cc1f5…e6ba07
11-08-11:04:38.674;miner4;🔨 mined potential block                 ;46886;7b91ef…1de5e3
11-08-11:05:07.701;miner4;🔨 mined potential block                 ;46887;d7c5a9…53bb25
11-08-11:05:29.289;miner3;🔨 mined potential block                 ;46888;da7ecc…6d97a3
11-08-11:05:41.090;miner4;🔨 mined potential block                 ;46889;80c84a…89c256
11-08-11:06:52.885;miner3;🔨 mined potential block                 ;46890;c122d6…4d1de2
11-08-11:07:07.342;miner4;🔨 mined potential block                 ;46891;638c78…dbca5a
11-08-11:08:26.205;miner3;🔨 mined potential block                 ;46892;2b76d0…920c1e
11-08-11:08:26.828;miner3;🔨 mined potential block                 ;46893;47866d…c8e155
11-08-11:08:50.216;miner4;🔨 mined potential block                 ;46894;741a6d…e1eba5
11-08-11:09:27.776;miner3;🔨 mined potential block                 ;46895;3a0cd7…6c5c17
11-08-11:10:05.701;miner3;🔨 mined potential block                 ;46896;673084…b8897f
11-08-11:11:02.478;miner4;🔨 mined potential block                 ;46897;df1e7f…b6b6bc
11-08-11:11:19.694;miner4;🔨 mined potential block                 ;46898;39656d…ee2d2c
11-08-11:11:24.080;miner3;🔨 mined potential block                 ;46899;963803…ed28a2
11-08-11:11:36.868;miner4;🔨 mined potential block                 ;46900;5f609f…b40ef0
11-08-11:12:02.233;miner3;🔨 mined potential block                 ;46901;630d75…d46f83
11-08-11:12:35.106;miner4;🔨 mined potential block                 ;46902;631144…f4bca7
11-08-11:14:13.886;miner3;🔨 mined potential block                 ;46903;7bb772…fd9e42
11-08-11:14:55.122;miner4;🔨 mined potential block                 ;46904;8db89c…c75e52
11-08-11:16:08.437;miner4;🔨 mined potential block                 ;46905;7a2aa4…fbf7fd
11-08-11:16:40.292;miner3;🔨 mined potential block                 ;46906;ebec72…68e26d
11-08-11:17:27.270;miner4;🔨 mined potential block                 ;46907;755f85…7268bc
11-08-11:17:35.141;miner4;🔨 mined potential block                 ;46908;3063a8…affba5
11-08-11:18:17.755;miner3;🔨 mined potential block                 ;46909;48901b…93af3d
11-08-11:18:35.947;miner3;🔨 mined potential block                 ;46910;b81c6b…b46e36
11-08-11:18:37.539;miner4;🔨 mined potential block                 ;46911;56388b…72b722
11-08-11:19:54.840;miner3;🔨 mined potential block                 ;46912;86cd86…def5c0
11-08-11:19:58.940;miner4;🔨 mined potential block                 ;46913;a7a210…0e4723
11-08-11:20:07.095;miner3;🔨 mined potential block                 ;46914;34f4ba…c8036a
11-08-11:20:22.241;miner2;🔨 mined potential block                 ;46915;d3c257…74e809
11-08-11:20:41.891;miner4;🔨 mined potential block                 ;46916;521d73…5916e1
11-08-11:20:43.211;miner3;🔨 mined potential block                 ;46917;fe9f83…a07534
11-08-11:20:52.717;miner3;🔨 mined potential block                 ;46918;927880…8b4e15
11-08-11:20:54.562;miner4;🔨 mined potential block                 ;46919;c98342…da8919
11-08-11:21:37.601;miner4;🔨 mined potential block                 ;46920;352396…4d891d
11-08-11:21:38.836;miner4;🔨 mined potential block                 ;46921;e2622a…e0c6b4
11-08-11:21:38.962;miner3;🔨 mined potential block                 ;46921;88bcac…66eb11
11-08-11:21:57.225;miner3;🔨 mined potential block                 ;46922;9847ad…7a4825
11-08-11:22:16.695;miner3;🔨 mined potential block                 ;46923;86d060…8f8c81
11-08-11:22:36.439;miner3;🔨 mined potential block                 ;46924;bfe316…81cab3
11-08-11:23:00.362;miner3;🔨 mined potential block                 ;46925;d921c8…ef62bf
11-08-11:23:23.582;miner4;🔨 mined potential block                 ;46926;48c008…a6214a
11-08-11:23:34.708;miner3;🔨 mined potential block                 ;46927;951be7…5c1094
11-08-11:24:24.128;miner4;🔨 mined potential block                 ;46928;ce8b27…75a6a8
11-08-11:24:25.792;miner4;🔨 mined potential block                 ;46929;d87ce2…3f71be
11-08-11:24:36.367;miner3;🔨 mined potential block                 ;46930;fee02a…49e069
11-08-11:25:36.827;miner4;🔨 mined potential block                 ;46931;27452b…95b99d
11-08-11:26:11.323;miner4;🔨 mined potential block                 ;46932;88297a…8b4164
11-08-11:26:13.441;miner4;🔨 mined potential block                 ;46933;698026…f5fb3a
11-08-11:26:36.175;miner4;🔨 mined potential block                 ;46934;595ae8…19bacf
11-08-11:26:46.210;miner4;🔨 mined potential block                 ;46935;14f7e9…975798
11-08-11:26:51.254;miner3;🔨 mined potential block                 ;46936;ca6d79…fb0f27
11-08-11:27:23.754;miner4;🔨 mined potential block                 ;46937;e1e898…648e6d
11-08-11:27:25.706;miner4;🔨 mined potential block                 ;46938;c6e307…cbcafa
11-08-11:28:16.968;miner3;🔨 mined potential block                 ;46939;bd92bb…25cecf
11-08-11:29:00.373;miner3;🔨 mined potential block                 ;46940;d0bd08…0db52e
11-08-11:29:07.157;miner3;🔨 mined potential block                 ;46941;0e1376…9b303a
11-08-11:29:46.667;miner3;🔨 mined potential block                 ;46942;f7cbd3…d315c6
11-08-11:29:58.847;miner4;🔨 mined potential block                 ;46943;c8f5b5…1902d4
11-08-11:31:03.509;miner3;🔨 mined potential block                 ;46944;9da032…642b83
11-08-11:31:40.724;miner3;🔨 mined potential block                 ;46945;bfa1b9…57b739
11-08-11:31:49.624;miner3;🔨 mined potential block                 ;46946;4e8687…5800cd
11-08-11:31:52.337;miner4;🔨 mined potential block                 ;46947;b559e3…1bdbec
11-08-11:31:54.385;miner3;🔨 mined potential block                 ;46948;3e9902…415aab
11-08-11:31:57.745;miner3;🔨 mined potential block                 ;46949;ad557b…e1faf3
11-08-11:31:58.914;miner3;🔨 mined potential block                 ;46950;c1648f…44b2d6
11-08-11:32:01.802;miner4;🔨 mined potential block                 ;46951;0785aa…4c3ec9
11-08-11:32:37.653;miner4;🔨 mined potential block                 ;46952;915c3e…b3970f
11-08-11:32:51.640;miner3;🔨 mined potential block                 ;46953;c90e64…694705
11-08-11:33:14.100;miner4;🔨 mined potential block                 ;46954;9dd985…93c978
11-08-11:33:24.591;miner4;🔨 mined potential block                 ;46955;fb3602…34cb9f
11-08-11:33:40.040;miner3;🔨 mined potential block                 ;46956;2e594f…123d25
11-08-11:35:03.526;miner3;🔨 mined potential block                 ;46957;e19884…93b152
11-08-11:35:10.243;miner3;🔨 mined potential block                 ;46958;20f40c…7903e9
11-08-11:35:12.451;miner4;🔨 mined potential block                 ;46959;f93eb4…147289
11-08-11:35:45.966;miner4;🔨 mined potential block                 ;46960;4c3303…ec8ca2
11-08-11:35:47.886;miner3;🔨 mined potential block                 ;46961;6984aa…feca58
11-08-11:36:10.535;miner3;🔨 mined potential block                 ;46962;4ec326…44bbb5
11-08-11:36:10.733;miner4;🔨 mined potential block                 ;46962;81ec1e…15f9ab
11-08-11:36:13.342;miner4;🔨 mined potential block                 ;46963;9d2997…a621e8
11-08-11:36:27.695;miner4;🔨 mined potential block                 ;46964;5e070a…e9516a
11-08-11:36:52.937;miner4;🔨 mined potential block                 ;46965;41f19c…085199
11-08-11:36:57.763;miner3;🔨 mined potential block                 ;46966;9f41ca…a68ef7
11-08-11:37:11.596;miner4;🔨 mined potential block                 ;46967;410814…ca78e4
11-08-11:37:27.375;miner3;🔨 mined potential block                 ;46968;d8b541…849e6f
